date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2013-11-01","231
                                       ",102,181,202,14,100,1.89,0
"
                                        2013-11-02","294
                                       ",112,243,253,11,104,2.14,0
"
                                        2013-11-03","80
                                       ",36,53,82,5,45,0.82,0
"
                                        2013-11-04","57
                                       ",11,36,60,9,54,0.87,0
"
                                        2013-11-05","184
                                       ",109,143,188,23,95,2.06,0
"
                                        2013-11-06","189
                                       ",100,91,135,9,55,1.47,0
"
                                        2013-11-07","59
                                       ",4,32,55,9,42,0.35,0
"
                                        2013-11-08","106
                                       ",57,124,160,50,93,2.23,0
"
                                        2013-11-09","178
                                       ",94,89,114,39,65,1.58,0
"
                                        2013-11-10","53
                                       ",18,16,39,8,27,0.45,0
"
                                        2013-11-11","47
                                       ",17,32,56,17,49,0.75,0
"
                                        2013-11-12","77
                                       ",65,55,81,21,58,1.36,0
"
                                        2013-11-13","114
                                       ",82,149,180,48,97,2.76,0
"
                                        2013-11-14","170
                                       ",91,66,103,19,55,1.31,0
"
                                        2013-11-15","95
                                       ",46,92,167,27,81,2.12,0
"
                                        2013-11-16","109
                                       ",39,40,92,11,30,0.76,0
"
                                        2013-11-17","33
                                       ",1,9,21,6,20,0.46,0
"
                                        2013-11-18","19
                                       ",1,8,16,6,18,0.42,0
"
                                        2013-11-19","22
                                       ",1,30,41,16,37,0.77,0
"
                                        2013-11-20","74
                                       ",25,59,76,23,54,1.65,0
"
                                        2013-11-21","92
                                       ",28,89,103,34,69,1.93,0
"
                                        2013-11-22","134
                                       ",60,126,130,45,83,2.28,3
"
                                        2013-11-23","212
                                       ",77,173,158,56,96,2.90,13
"
                                        2013-11-24","169
                                       ",75,70,130,24,41,1.18,22
"
                                        2013-11-25","59
                                       ",14,14,26,8,22,0.54,33
"
                                        2013-11-26","37
                                       ",3,16,46,9,21,0.75,37
"
                                        2013-11-27","42
                                       ",5,6,34,2,6,0.38,50
"
                                        2013-11-28","31
                                       ",2,16,32,11,23,0.68,36
"
                                        2013-11-29","56
                                       ",24,56,71,30,57,1.69,17
"
                                        2013-11-30","70
                                       ",33,34,49,26,41,1.01,24
"
                                        2013-12-01","56
                                       ",5,60,77,34,56,1.70,15
"
                                        2013-12-02","109
                                       ",41,98,123,53,75,2.53,6
"
                                        2013-12-03","113
                                       ",31,65,88,38,54,1.58,20
"
                                        2013-12-04","99
                                       ",29,83,101,42,62,2.04,11
"
                                        2013-12-05","83
                                       ",19,39,55,30,38,1.17,23
"
                                        2013-12-06","93
                                       ",32,125,158,49,77,2.46,6
"
                                        2013-12-07","233
                                       ",76,248,292,63,100,4.34,3
"
                                        2013-12-08","341
                                       ",97,179,192,48,61,3.01,5
"
                                        2013-12-09","97
                                       ",26,11,16,9,21,0.59,39
"
                                        2013-12-10","36
                                       ",1,20,44,14,29,0.96,29
"
                                        2013-12-11","33
                                       ",2,19,29,14,29,0.74,31
"
                                        2013-12-12","36
                                       ",1,15,28,10,24,0.75,35
"
                                        2013-12-13","41
                                       ",4,47,63,29,45,1.30,16
"
                                        2013-12-14","64
                                       ",11,40,47,29,40,1.18,26
"
                                        2013-12-15","61
                                       ",16,47,55,31,49,1.52,18
"
                                        2013-12-16","92
                                       ",47,104,127,59,71,2.55,6
"
                                        2013-12-17","137
                                       ",78,58,45,35,38,1.34,31
"
                                        2013-12-18","32
                                       ",19,27,41,22,30,0.81,31
