date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2013-11-01","48
                                       ",6,28,46,14,37,0.58,76
"
                                        2013-11-02","69
                                       ",21,49,59,16,50,0.79,68
"
                                        2013-11-03","103
                                       ",55,77,76,15,40,0.90,71
"
                                        2013-11-04","80
                                       ",40,55,61,20,32,0.78,73
"
                                        2013-11-05","62
                                       ",17,39,67,19,59,0.87,64
"
                                        2013-11-06","112
                                       ",52,116,148,48,96,1.42,61
"
                                        2013-11-07","229
                                       ",114,204,229,60,113,1.37,63
"
                                        2013-11-08","214
                                       ",109,106,86,23,48,0.99,102
"
                                        2013-11-09","86
                                       ",42,60,75,18,47,0.92,67
"
                                        2013-11-10","95
                                       ",71,50,49,17,28,0.81,58
"
                                        2013-11-11","50
                                       ",21,37,59,25,34,0.68,65
"
                                        2013-11-12","52
                                       ",32,25,47,17,33,0.63,57
"
                                        2013-11-13","43
                                       ",29,21,40,17,43,0.57,56
"
                                        2013-11-14","56
                                       ",31,73,83,29,77,1.15,19
"
                                        2013-11-15","187
                                       ",99,188,221,74,100,2.10,30
"
                                        2013-11-16","233
                                       ",104,144,264,59,102,1.78,40
"
                                        2013-11-17","150
                                       ",106,76,190,50,56,1.00,38
"
                                        2013-11-18","83
                                       ",53,56,89,50,63,1.05,33
"
                                        2013-11-19","97
                                       ",61,85,126,66,78,1.33,26
"
                                        2013-11-20","134
                                       ",70,126,176,65,113,1.50,30
"
                                        2013-11-21","168
                                       ",79,105,138,38,89,1.03,62
"
                                        2013-11-22","103
                                       ",31,64,81,24,57,0.94,66
"
                                        2013-11-23","81
                                       ",19,64,89,19,51,0.88,74
"
                                        2013-11-24","80
                                       ",26,52,51,18,41,1.11,61
"
                                        2013-11-25","93
                                       ",65,69,231,43,53,1.16,30
"
                                        2013-11-26","171
                                       ",110,105,295,46,81,1.54,21
"
                                        2013-11-27","143
                                       ",110,76,165,43,63,1.04,28
"
                                        2013-11-28","79
                                       ",81,56,89,47,52,0.96,32
"
                                        2013-11-29","85
                                       ",83,66,96,58,61,1.15,24
"
                                        2013-11-30","108
                                       ",77,104,139,53,81,1.64,25
"
                                        2013-12-01","197
                                       ",107,218,248,83,107,2.15,26
"
                                        2013-12-02","307
                                       ",112,252,279,93,121,2.43,18
"
                                        2013-12-03","245
                                       ",85,150,152,48,104,1.55,38
"
                                        2013-12-04","170
                                       ",61,120,140,35,99,1.46,45
"
                                        2013-12-05","205
                                       ",70,241,255,33,128,2.25,30
"
                                        2013-12-06","421
                                       ",114,461,475,67,128,3.08,13
"
                                        2013-12-07","354
                                       ",100,167,158,31,79,1.69,40
"
                                        2013-12-08","168
                                       ",41,108,80,22,59,1.10,46
"
                                        2013-12-09","210
                                       ",66,184,174,46,72,1.86,26
"
                                        2013-12-10","164
                                       ",97,76,100,56,64,1.24,25
"
                                        2013-12-11","140
                                       ",88,111,146,67,69,1.50,21
"
                                        2013-12-12","115
                                       ",58,95,137,49,76,1.17,22
"
                                        2013-12-13","173
                                       ",93,115,143,45,67,1.32,29
"
                                        2013-12-14","83
                                       ",23,51,73,26,59,0.85,30
"
                                        2013-12-15","99
                                       ",48,89,103,33,45,0.86,59
"
                                        2013-12-16","81
                                       ",38,22,23,17,35,0.55,41
"
                                        2013-12-17","22
                                       ",14,12,12,16,29,0.67,41
"
                                        2013-12-18","33
                                       ",20,43,57,22,28,0.70,50
"
                                        2013-12-19","94
                                       ",50,100,112,46,52,1.09,28
"
                                        2013-12-20","206
                                       ",83,202,218,89,73,1.73,14
"
                                        2013-12-21","169
                                       ",74,60,66,37,45,0.95,28
"
                                        2013-12-22","76
                                       ",8,54,62,26,45,0.74,28
"
                                        2013-12-23","69
                                       ",4,56,63,26,50,0.87,33
"
                                        2013-12-24","125
                                       ",36,131,143,58,54,1.45,31
"
                                        2013-12-25","169
                                       ",42,108,123,40,67,1.38,17
"
                                        2013-12-26","213
                                       ",65,220,243,80,72,1.69,13
