date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2013-11-01","65
                                       ",30,45,72,10,38,1.19,74
"
                                        2013-11-02","68
                                       ",20,48,79,10,30,1.18,60
"
                                        2013-11-03","71
                                       ",22,51,71,7,18,1.29,61
"
                                        2013-11-04","78
                                       ",35,57,74,6,23,1.35,51
"
                                        2013-11-05","83
                                       ",43,61,74,6,31,1.55,42
"
                                        2013-11-06","93
                                       ",36,65,95,9,43,1.52,51
"
                                        2013-11-07","82
                                       ",31,55,74,8,31,1.00,71
"
                                        2013-11-08","72
                                       ",22,55,82,10,35,1.32,87
"
                                        2013-11-09","83
                                       ",38,50,73,8,30,1.29,63
"
                                        2013-11-10","48
                                       ",12,19,36,6,23,1.03,44
"
                                        2013-11-11","39
                                       ",6,25,40,5,18,1.17,66
"
                                        2013-11-12","34
                                       ",15,22,36,4,20,1.11,60
"
                                        2013-11-13","39
                                       ",24,19,32,4,31,1.41,31
"
                                        2013-11-14","40
                                       ",15,28,47,7,32,1.41,36
"
                                        2013-11-15","48
                                       ",10,30,52,8,30,1.43,59
"
                                        2013-11-16","59
                                       ",12,48,78,10,38,1.42,65
"
                                        2013-11-17","71
                                       ",22,50,93,11,33,1.30,63
"
                                        2013-11-18","73
                                       ",31,52,109,11,37,1.12,79
"
                                        2013-11-19","86
                                       ",45,65,133,14,47,1.28,72
"
                                        2013-11-20","89
                                       ",32,65,118,13,48,1.29,73
"
                                        2013-11-21","100
                                       ",33,78,130,14,60,1.42,67
"
                                        2013-11-22","86
                                       ",24,51,76,9,44,1.19,69
"
                                        2013-11-23","59
                                       ",12,35,59,8,26,1.13,74
"
                                        2013-11-24","59
                                       ",10,38,63,9,33,1.16,60
"
                                        2013-11-25","59
                                       ",18,29,66,8,28,1.38,66
"
                                        2013-11-26","71
                                       ",38,39,98,11,35,1.19,70
"
                                        2013-11-27","80
                                       ",50,47,101,10,35,1.24,62
"
                                        2013-11-28","62
                                       ",46,29,49,10,23,0.98,67
"
                                        2013-11-29","52
                                       ",10,29,57,12,28,0.98,74
"
                                        2013-11-30","61
                                       ",21,44,89,12,49,1.07,69
"
                                        2013-12-01","77
                                       ",34,55,99,15,55,1.28,67
"
                                        2013-12-02","72
                                       ",18,52,92,15,62,1.14,72
"
                                        2013-12-03","79
                                       ",10,60,105,12,73,1.29,72
"
                                        2013-12-04","87
                                       ",18,71,115,16,73,1.38,66
"
                                        2013-12-05","88
                                       ",25,61,99,18,60,1.17,68
"
                                        2013-12-06","96
                                       ",35,81,120,18,71,1.35,77
"
                                        2013-12-07","117
                                       ",27,97,150,18,80,1.56,76
"
                                        2013-12-08","131
                                       ",28,89,127,12,72,1.52,64
"
                                        2013-12-09","121
                                       ",37,96,134,19,55,1.48,76
"
                                        2013-12-10","149
                                       ",81,131,182,28,31,1.61,97
"
                                        2013-12-11","160
                                       ",97,112,157,30,38,1.65,76
"
                                        2013-12-12","142
                                       ",89,109,156,26,51,1.53,55
"
                                        2013-12-13","154
                                       ",76,125,173,18,72,1.75,40
"
                                        2013-12-14","154
                                       ",79,100,127,10,49,1.66,39
"
                                        2013-12-15","84
                                       ",33,30,37,4,33,1.55,30
"
                                        2013-12-16","25
                                       ",3,10,19,4,31,1.63,36
"
                                        2013-12-17","21
                                       ",12,13,21,5,37,1.60,32
"
                                        2013-12-18","24
                                       ",9,14,24,7,22,1.22,48
"
                                        2013-12-19","30
                                       ",4,28,42,8,27,1.15,54
"
                                        2013-12-20","51
                                       ",9,41,64,11,38,1.14,56
"
                                        2013-12-21","72
                                       ",19,68,90,17,42,1.35,56
"
                                        2013-12-22","116
                                       ",36,100,123,25,34,1.57,79
"
                                        2013-12-23","129
                                       ",38,91,122,21,53,1.62,63
"
                                        2013-12-24","112
                                       ",29,83,113,22,48,1.45,67
"
                                        2013-12-25","115
                                       ",23,91,124,26,50,1.48,64
"
                                        2013-12-26","115
                                       ",28,76,103,24,37,1.19,76
"
                                        2013-12-27","120
                                       ",63,124,153,49,32,1.53,82
"
                                        2013-12-28","162
                                       ",99,97,126,27,40,1.31,65
"
                                        2013-12-29","91
                                       ",38,61,95,17,43,1.15,65
"
                                        2013-12-30","102
                                       ",33,83,129,19,76,1.41,54
